time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-29T03:03:21.681Z,60.3867,-153.1174,135.3,2.8,ml,,,,0.61,ak,ak0206w4f1o8,2020-05-29T03:14:46.084Z,"69 km ENE of Port Alsworth, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-05-29T02:40:19.460Z,17.922,-66.5841,5,2.8,md,18,193,0.1228,0.28,pr,pr2020150002,2020-05-29T04:27:25.736Z,"10 km SSE of Ponce, Puerto Rico",earthquake,0.62,0.48,0.39,17,reviewed,pr,pr
2020-05-29T02:08:09.230Z,34.0237,25.5598,10,4.3,mb,,187,1.376,0.88,us,us6000a1g9,2020-05-29T02:43:05.678Z,"109 km S of Néa Anatolí, Greece",earthquake,8.1,1.9,0.106,25,reviewed,us,us
2020-05-29T02:07:16.920Z,17.8621,-66.8818,9,2.93,md,20,223,0.113,0.23,pr,pr2020150003,2020-05-29T03:34:20.877Z,"12 km SSE of Guánica, Puerto Rico",earthquake,0.67,1,0.28,14,reviewed,pr,pr
2020-05-29T01:58:51.980Z,17.9121,-66.5941,5,3.69,md,22,195,0.1313,0.2,pr,pr2020150001,2020-05-29T19:01:18.040Z,"11 km SSE of Ponce, Puerto Rico",earthquake,0.39,0.34,0.18,21,reviewed,pr,pr
2020-05-29T01:37:49.170Z,38.129,-117.9328,12.2,2.6,ml,24,60.38,0.023,0.14,nn,nn00737715,2020-05-29T01:41:06.264Z,"32 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-29T01:29:17.120Z,17.7965,-66.8998,6,2.88,md,19,240,0.1798,0.25,pr,pr2020150005,2020-05-29T03:37:18.411Z,"19 km S of Guánica, Puerto Rico",earthquake,0.5,0.54,0.28,15,reviewed,pr,pr
2020-05-29T01:16:56.197Z,38.1098,-118.1903,5.7,2.6,ml,25,69.21,0.12,0.1852,nn,nn00737699,2020-05-29T01:43:40.087Z,"31 km SSW of Mina, Nevada",earthquake,,4.4,0.34,10,reviewed,nn,nn
2020-05-29T00:54:26.860Z,17.9113,-66.5793,5,3.45,md,23,195,0.1342,0.28,pr,pr2020150000,2020-05-29T12:49:08.506Z,"11 km SSE of Ponce, Puerto Rico",earthquake,0.55,0.42,0.1,12,reviewed,pr,pr
2020-05-29T00:30:29.301Z,11.7257,92.3273,10,4.5,mb,,63,0.413,0.84,us,us6000a1f4,2020-05-29T00:52:40.040Z,"42 km W of Bamboo Flat, India",earthquake,4.4,1.9,0.092,35,reviewed,us,us
2020-05-28T23:59:44.239Z,56.2978,-159.0715,4.8,3.4,ml,,,,0.55,ak,ak0206ut4f7k,2020-05-29T21:45:24.020Z,"19 km WNW of Chignik Lake, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-05-28T23:47:09.427Z,28.6393,-43.6969,10,4.7,mb,,119,17.699,1.06,us,us6000a1ei,2020-05-29T00:14:18.040Z,"1656 km SW of Lajes das Flores, Portugal",earthquake,5.8,1.8,0.038,211,reviewed,us,us
2020-05-28T23:42:50.363Z,43.0554,143.2292,108.02,4.5,mb,,131,1.159,0.63,us,us6000a1ec,2020-05-29T00:05:19.040Z,"7 km NNE of Otofuke, Japan",earthquake,8.4,6.7,0.031,301,reviewed,us,us
2020-05-28T23:32:46.520Z,17.7921,-66.886,7,2.65,md,22,240,0.1831,0.26,pr,pr2020149025,2020-05-29T00:30:14.747Z,"20 km S of Guánica, Puerto Rico",earthquake,0.65,0.62,0.22,17,reviewed,pr,pr
2020-05-28T23:16:31.330Z,17.9965,-66.8138,13,2.98,md,23,155,0.0688,0.22,pr,pr2020149024,2020-05-29T00:25:03.040Z,"0 km ENE of Indios, Puerto Rico",earthquake,0.51,0.31,0.3,20,reviewed,pr,pr
2020-05-28T23:09:04.220Z,17.962,-66.8301,14,3.3,md,21,184,0.0508,0.14,pr,pr2020149023,2020-05-29T02:14:14.455Z,"3 km SSW of Indios, Puerto Rico",earthquake,0.55,0.39,0.19,18,reviewed,pr,pr
2020-05-28T23:00:33.468Z,-0.6938,67.4083,10,4.6,mb,,137,5.709,0.93,us,us6000a1dp,2020-05-28T23:17:51.040Z,"631 km W of Hithadhoo, Maldives",earthquake,10.4,1.9,0.076,51,reviewed,us,us
2020-05-28T22:01:04.337Z,59.5321,-153.6036,116.6,2.6,ml,,,,0.64,ak,ak0206us6gur,2020-05-28T22:17:19.040Z,"40 km SE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-28T21:26:37.830Z,44.3691,-115.0446,10,2.7,ml,,94,0.381,0.65,us,us6000a1ck,2020-05-29T22:06:49.834Z,"18 km NNW of Stanley, Idaho",earthquake,2.7,2,0.052,48,reviewed,us,us
2020-05-28T20:44:31.810Z,38.1345,-118.0644,3.5,3,ml,29,58.99,0.027,0.1792,nn,nn00737555,2020-05-29T02:16:12.667Z,"28 km S of Mina, Nevada",earthquake,,1.2,0.44,11,reviewed,nn,nn
2020-05-28T19:51:48.710Z,38.2268,-117.7605,13.4,2.6,ml,27,51.53,0.118,0.13,nn,nn00737537,2020-05-28T19:58:14.526Z,"35 km ESE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-05-28T19:48:34.000Z,17.9643,-66.8048,12,2.63,md,13,189,0.0752,0.18,pr,pr2020149021,2020-05-28T20:09:42.722Z,"3 km SSE of Indios, Puerto Rico",earthquake,0.7,0.6,0.26,9,reviewed,pr,pr
2020-05-28T19:37:28.300Z,17.9681,-66.7201,10,2.97,md,15,181,0.1362,0.17,pr,pr2020149020,2020-05-28T21:01:05.923Z,"3 km S of Tallaboa, Puerto Rico",earthquake,0.65,0.56,0.24,10,reviewed,pr,pr
2020-05-28T19:21:05.630Z,17.96,-67.0265,6,2.63,md,16,217,0.0201,0.22,pr,pr2020149019,2020-05-28T19:55:40.446Z,"2 km SE of La Parguera, Puerto Rico",earthquake,0.69,0.23,0.34,12,reviewed,pr,pr
2020-05-28T19:19:13.100Z,36.6403333,-121.2631667,9.19,3.47,mw,96,55,0.05081,0.14,nc,nc73397916,2020-05-29T17:10:18.505Z,"16km NW of Pinnacles, CA",earthquake,0.12,0.31,,4,reviewed,nc,nc
2020-05-28T18:45:35.343Z,38.1837,-117.8445,9,3.2,ml,33,49.07,0.03,0.1558,nn,nn00737490,2020-05-29T02:19:41.710Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.26,13,reviewed,nn,nn
2020-05-28T17:33:08.758Z,38.2082,-117.7257,8.1,2.9,ml,29,50.49,0.025,0.136,nn,nn00737421,2020-05-29T02:15:59.085Z,"39 km ESE of Mina, Nevada",earthquake,,0.7,0.23,11,reviewed,nn,nn
2020-05-28T17:08:54.159Z,38.1666,-117.7709,6.2,2.9,ml,28,46.88,0.064,0.1558,nn,nn00737402,2020-05-29T02:15:56.280Z,"38 km SE of Mina, Nevada",earthquake,,0.9,0.36,10,reviewed,nn,nn
2020-05-28T16:15:44.370Z,15.7704,-94.6916,47.63,4.4,mb,,175,2.508,0.94,us,us6000a13v,2020-05-28T19:10:35.040Z,"51 km S of San Francisco del Mar Viejo, Mexico",earthquake,9.9,10.9,0.044,153,reviewed,us,us
2020-05-28T15:06:22.977Z,18.741,-68.0327,103.88,2.6,ml,,187,0.915,0.41,us,us6000a12y,2020-05-28T18:52:44.040Z,"42 km ENE of Punta Cana, Dominican Republic",earthquake,10.5,17.5,0.065,31,reviewed,us,us
2020-05-28T14:28:43.560Z,17.9568,-66.9288,13,2.65,md,13,203,0.0529,0.24,pr,pr2020149016,2020-05-28T14:56:15.216Z,"2 km SW of Guánica, Puerto Rico",earthquake,0.77,0.39,0.26,10,reviewed,pr,pr
2020-05-28T14:04:40.400Z,17.9505,-66.72,10,3.11,md,19,215,0.1465,0.13,pr,pr2020149015,2020-05-28T20:59:15.566Z,"4 km S of Tallaboa, Puerto Rico",earthquake,0.39,0.41,0.32,10,reviewed,pr,pr
2020-05-28T13:36:17.100Z,17.979,-66.7101,9,2.87,md,16,178,0.1219,0.26,pr,pr2020149014,2020-05-28T14:30:18.560Z,"1 km SSE of Tallaboa, Puerto Rico",earthquake,0.53,0.89,0.28,11,reviewed,pr,pr
2020-05-28T13:05:44.980Z,17.9673,-66.909,10,2.49,md,15,196,0.0308,0.26,pr,pr2020149013,2020-05-28T13:33:48.904Z,"0 km SSW of Guánica, Puerto Rico",earthquake,0.63,0.56,0.19,12,reviewed,pr,pr
2020-05-28T12:58:46.156Z,63.5705,-145.7337,1,2.5,ml,,,,1.08,ak,ak0206umkfsr,2020-05-28T13:05:44.801Z,"42 km S of Fort Greely, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-28T12:54:24.868Z,-5.9393,147.6914,89,4.6,mb,,102,3.483,0.77,us,us6000a10g,2020-05-28T13:32:47.040Z,"70 km NNW of Finschhafen, Papua New Guinea",earthquake,8.6,7.9,0.073,55,reviewed,us,us
2020-05-28T12:20:16.113Z,-4.1911,142.6925,59.85,5,mb,,49,5.131,0.89,us,us6000a0yl,2020-05-28T12:37:20.755Z,"14 km WNW of Ambunti, Papua New Guinea",earthquake,8.9,7.2,0.094,36,reviewed,us,us
2020-05-28T12:03:21.515Z,38.2057,-117.7262,8,3.4,ml,30,49.37,0.027,0.1889,nn,nn00737209,2020-05-29T03:21:03.931Z,"39 km ESE of Mina, Nevada",earthquake,,0.9,0.3,12,reviewed,nn,nn
2020-05-28T11:40:56.440Z,19.0343,-65.1261,26,3.59,md,12,297,0.7434,0.3,pr,pr2020149012,2020-05-29T08:15:29.040Z,"79 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.15,19.91,0.06,8,reviewed,pr,pr
2020-05-28T10:35:33.580Z,17.9161,-66.6058,4,2.6,md,17,249,0.1267,0.22,pr,pr2020149010,2020-05-28T11:21:34.840Z,"10 km S of Ponce, Puerto Rico",earthquake,0.7,0.39,0.34,14,reviewed,pr,pr
2020-05-28T09:46:46.493Z,-27.6755,-174.9043,10,5.8,mww,,178,3.088,1.19,us,us6000a0x5,2020-05-29T09:48:51.185Z,"702 km S of Ohonua, Tonga",earthquake,9.1,1.9,0.083,14,reviewed,us,us
2020-05-28T09:37:11.380Z,40.3431664,-124.3426666,0.85,2.54,md,16,180,0.04939,0.19,nc,nc73397621,2020-05-29T07:24:36.040Z,"5km WNW of Petrolia, CA",earthquake,0.62,1.14,0.17,13,automatic,nc,nc
2020-05-28T09:23:42.670Z,38.1828,-117.868,7.5,2.5,ml,41,47.79,0.028,0.14,nn,nn00737127,2020-05-28T09:27:10.435Z,"31 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-05-28T08:46:55.677Z,47.975,154.1438,57.37,4.6,mb,,115,5.616,0.65,us,us6000a0we,2020-05-28T14:58:40.040Z,"333 km SSW of Severo-Kurilsk, Russia",earthquake,8.2,5.7,0.031,314,reviewed,us,us
2020-05-28T08:37:57.879Z,-56.2715,-27.1608,62.28,5,mb,,111,5.691,0.9,us,us6000a0wa,2020-05-28T09:08:12.040Z,"2406 km SW of Edinburgh of the Seven Seas, Saint Helena",earthquake,11.7,6.5,0.068,69,reviewed,us,us
2020-05-28T08:37:39.790Z,18.8206,-64.1183,41,3.52,md,9,348,1.2723,0.27,pr,pr2020149009,2020-05-28T08:55:38.183Z,"89 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,4.95,13.03,0.04,5,reviewed,pr,pr
2020-05-28T08:32:52.185Z,38.1461,-118.0396,2.5,2.7,ml,26,42.94,0.017,0.1518,nn,nn00737094,2020-05-29T02:15:47.398Z,"27 km SSE of Mina, Nevada",earthquake,,0.6,0.27,8,reviewed,nn,nn
2020-05-28T08:29:46.174Z,38.1517,-118.026,2.7,3.8,ml,27,42.95,0.022,0.1526,nn,nn00737089,2020-05-29T08:31:21.241Z,"27 km SSE of Mina, Nevada",earthquake,,0.6,0.33,8,reviewed,nn,nn
2020-05-28T08:18:34.220Z,18.0223,-66.7683,13,2.61,md,20,75,0.1205,0.15,pr,pr2020149008,2020-05-28T08:37:05.335Z,"0 km N of Magas Arriba, Puerto Rico",earthquake,0.44,0.24,0.44,13,reviewed,pr,pr
2020-05-28T08:00:06.849Z,38.1167,-118.1803,6.5,2.9,ml,34,44.84,0.11,0.1754,nn,nn00737063,2020-05-29T02:15:40.457Z,"31 km SSW of Mina, Nevada",earthquake,,2.9,0.31,12,reviewed,nn,nn
2020-05-28T07:59:29.000Z,38.0452,-118.2575,0.1,2.7,ml,11,128.68,1.067,0.3,nn,nn00737065,2020-05-28T08:03:59.101Z,"31 km NE of Benton, California",earthquake,,14.3,,,automatic,nn,nn
2020-05-28T07:41:38.480Z,-9.4897,155.984,10,5,mb,,47,6.487,0.7,us,us6000a0uz,2020-05-28T08:01:08.040Z,"180 km SSW of Gizo, Solomon Islands",earthquake,9.4,1.9,0.049,131,reviewed,us,us
2020-05-28T07:18:44.852Z,-22.236,-174.2851,10,5.9,mww,,21,5.15,1.3,us,us6000a0um,2020-05-29T07:20:49.096Z,"121 km SE of Ohonua, Tonga",earthquake,7.4,1.8,0.058,29,reviewed,us,us
2020-05-28T07:04:58.400Z,17.9468,-66.7193,10,2.66,md,17,187,0.1483,0.14,pr,pr2020149006,2020-05-28T07:57:52.271Z,"5 km S of Tallaboa, Puerto Rico",earthquake,0.47,0.4,0.46,11,reviewed,pr,pr
2020-05-28T07:01:43.610Z,18.2121,-66.875,10,2.61,md,12,81,0.181,0.22,pr,pr2020149005,2020-05-28T07:26:39.239Z,"9 km S of Lares, Puerto Rico",earthquake,0.47,2.93,0.3,8,reviewed,pr,pr
2020-05-28T06:28:46.479Z,38.1146,-118.177,6.7,3,ml,31,59.55,0.108,0.1713,nn,nn00736986,2020-05-29T02:15:36.631Z,"31 km S of Mina, Nevada",earthquake,,2.6,0.37,12,reviewed,nn,nn
2020-05-28T06:19:22.330Z,38.1507,-117.8647,10.9,2.7,ml,30,47.7,0.009,0.18,nn,nn00736976,2020-05-28T06:38:43.040Z,"34 km SE of Mina, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-05-28T06:17:19.397Z,38.118,-118.1771,5.4,2.9,ml,28,44.76,0.107,0.1893,nn,nn00736971,2020-05-29T02:15:32.366Z,"30 km S of Mina, Nevada",earthquake,,4.4,0.31,10,reviewed,nn,nn
2020-05-28T05:17:30.050Z,16.6253,120.4197,77.83,5.1,mww,,75,6.191,0.84,us,us6000a0t7,2020-05-28T23:28:26.015Z,"2 km NW of Bagulin, Philippines",earthquake,9.5,7,0.08,15,reviewed,us,us
2020-05-28T04:58:27.280Z,17.9148,-66.831,10,2.53,md,15,213,0.0772,0.2,pr,pr2020149003,2020-05-28T05:44:24.142Z,"8 km S of Indios, Puerto Rico",earthquake,0.82,0.68,0.16,7,reviewed,pr,pr
2020-05-28T04:39:22.640Z,38.0436668,-118.769165,-2.26,2.61,md,30,76,0.2939,0.08,nc,nc73397451,2020-05-28T08:24:02.232Z,"28km SE of Bodie, CA",earthquake,0.34,1.84,0.18,27,automatic,nc,nc
